"fip_index","fip_title","community","c","question","q","sort","nochoice","resource","res","reslabel","rel","resourcetype","startdate","enddate","date"
"http://purl.org/np/RA73XfEpvVKb5-06EmmUtGHABI9lft8gxdNOPhSZNSPdg","SIOS_FIP_2020","http://purl.org/np/RAQufjbWqPyxaNoGCLug_9nTbCXSTo2ADgEmN3BVPBNe0#sios","sios","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-MD","A1.2-MD","A1.2-0Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2020-01-01,2020-12-31,2022-07-20T10:01:37Z
"http://purl.org/np/RAMzQ3NE2WVsKySYmCxIYJBMk-KwEBSRuohkODf0TiHMc","ACTRIS_ARES_FIP_2021","http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES","ACTRIS-ARES","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-D","A1.2-D","A1.2-Dx","","http://purl.org/np/RAbhCIJzwMFVkgwvrhsdjnpxtH58oLKoyxgj60DzkS-q4#OAuth","OAuth","OAuth | Open Authorization","https://w3id.org/fair/fip/terms/declares-planned-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T08:32:31Z
"http://purl.org/np/RAMzQ3NE2WVsKySYmCxIYJBMk-KwEBSRuohkODf0TiHMc","ACTRIS_ARES_FIP_2021","http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES","ACTRIS-ARES","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-D","A1.2-D","A1.2-Dx","","http://purl.org/np/RAjtZEII3jOPstz3GNWqnzd4jxxFC6D6LvF4tu3ORXw5s#SAML1.1","SAML1.1","SAML1.1 | Security Assertion Markup Language 1.1","https://w3id.org/fair/fip/terms/declares-planned-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T08:32:31Z
"http://purl.org/np/RAMzQ3NE2WVsKySYmCxIYJBMk-KwEBSRuohkODf0TiHMc","ACTRIS_ARES_FIP_2021","http://purl.org/np/RA39E3Dj61wCQkWCkK707UWBEBvRj2-hUDH5V5BicUgrg#ACTRIS-ARES","ACTRIS-ARES","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-D","A1.2-D","A1.2-Dx","","http://purl.org/np/RA1MzU1MPio-mtLzm1P7zfTBSMnTNc2I8HLNARhPjpif8#ORCID","ORCID",,"https://w3id.org/fair/fip/terms/declares-planned-use-of",,2021-01-01,2021-12-31,2022-07-20T08:32:31Z
"http://purl.org/np/RAz9hULqCDE_JaT6IkHCKifKG2zTgl77aTd9HeMYfiMLA","ACTRIS-ASC_FIP_2020","http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC","ACTRIS-ASC","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-D","A1.2-D","A1.2-Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2020-01-01,2020-12-31,2022-07-20T14:09:18Z
"http://purl.org/np/RAeVz3GLUR0U-U9nCOJM6fXd_pGKFO1qfFhnKGplQo0BU","ACTRIS-ASC_FIP_2021","http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC","ACTRIS-ASC","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-D","A1.2-D","A1.2-Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T14:10:53Z
"http://purl.org/np/RA1EHgdabMpUKXkAaSI-PQuGDaV8OjID3h8RCEVD0Xva0","ACTRIS-ASC_FIP_2019","http://purl.org/np/RANS1FDYGKYE6IzIP6QuofHtLpvPfGQsCw1gyBmR_n9Ls#ACTRIS-ASC","ACTRIS-ASC","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-D","A1.2-D","A1.2-Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2019-01-01,2019-12-31,2022-07-20T14:12:01Z
"http://purl.org/np/RA6GIqrDtR-lYuTpRVSUTSpgPRWL8rSLAybO2bNrZ-9Bg","ACTRIS_CLU_FIP_2021","http://purl.org/np/RAhtZUfiw2puxceEOXsLhh1eIlFWYvB_j0APDSxt_1Ypk#ACTRIS_CLU","ACTRIS_CLU","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-D","A1.2-D","A1.2-Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2021-01-01,2021-12-31,2022-07-20T08:31:21Z
"http://purl.org/np/RAHS3S9ipys_VKhwillwFcbs5zcXlsydVGXAoyMgXr_4g","ACTRIS_CLU_FIP_2019","http://purl.org/np/RAhtZUfiw2puxceEOXsLhh1eIlFWYvB_j0APDSxt_1Ypk#ACTRIS_CLU","ACTRIS_CLU","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-D","A1.2-D","A1.2-Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2019-01-01,2019-12-31,2022-07-20T08:34:40Z
"http://purl.org/np/RAIhNEYP1el5JNTaeVUfTF_Nr1TBYME2Xekh2ffHmTPh0","ACTRIS_CLU_FIP_2020","http://purl.org/np/RAhtZUfiw2puxceEOXsLhh1eIlFWYvB_j0APDSxt_1Ypk#ACTRIS_CLU","ACTRIS_CLU","https://w3id.org/fair/fip/terms/FIP-Question-A1.2-D","A1.2-D","A1.2-Dx","","http://purl.org/np/RAZdTTZKdMAIJ2Ruz7YVvOYDxn0v9xbQ2DBNg9Nm_H0bI#OPENDATA","OPENDATA","Open Data","https://w3id.org/fair/fip/terms/declares-current-use-of","https://w3id.org/fair/fip/terms/Available-FAIR-Enabling-Resource",2020-01-01,2020-12-31,2022-07-20T08:36:41Z
